title,thumbnail-path,video-button,date,description,video-path,video-poster-path
What the Gamecube Handle Really Does,thumbnails/what-the-gamecube-handle-does-thumbnail - Copy.png,"What the Gamecube Handle Really Does
02.06.2017","February 6th, 2017","This is a very well thought out explanation of why the GameCube has a handle. It is so you can be dragged across the floor while ear rape Running in the 90's is playing. In Stop Motion, anything is possible if you just believe!

-Social media-

Miiverse Nintendo network ID: jacobA03 ....Yeah, that's it.

-Credits-

Used iPad Gen. 3 to film.

Stop Motion Studio (not pro) App used.

Microsoft Surface 3 (not pro) used.

Music from Pinnacle Studio and Mario Kart Double Dash.

Running in the 90's from YouTube.

Used AGPTek Game capture to record music from Mario Kart Double Dash.

Sounds effects not owned by me.

GameCube handle on thumbnail off of Google images.

Images in the video off of Google Images.

Text from www.cooltext.com.

( ͡° ͜ʖ ͡°)",../video-data/08. What the Gamecube Handle Really Does.mp4,../thumbnails/what-the-gamecube-handle-does-thumbnail - Copy.png
Playing Old Games - With Ben!,thumbnails/playing-old-games-with-ben-thumbnail - Copy.png,"Playing Old Games - With Ben!
02.26.2017","February 26th, 2017","In this video, I play old video games from my childhood (which I am still currently in) with my favorite noscoper, Ben. After he leaves, he betrays me by coming to attack me as a terrorist. I then I get killed... which doesn't really make sense if you think because if I got killed while filming, then I wouldn't be able to type this descr... 

-Credits- All game footage owned and made by Nintendo (pl0x don't sue me m9).

Some of the music used in the video was made by Nintendo (pl0x don't sue m9).

Text in video and thumbnail made with www.cooltext.com.

Images not owned by me.

( ͡° ͜ʖ ͡°)",../video-data/09. Playing Old Games - With Ben!.mp4,../thumbnails/4 3 ben.png
The Safety Kids Club,thumbnails/the-safety-kids-club-thumbnail - Copy.png,"The Safety Kids Club
08.20.2017","August 20th, 2017","So, you want to be in the Safety Kids Club? Don't ya. Well, today is your lucky day! All you have to do is follow the steps in this video, and Voliá! You are now a fellow Safety Kid! The driver's channel: https://www.youtube.com/channel/UCdOMVUsMjB4KlsGM4YngoLA",../video-data/14. The Safety Kids Club - Copy.mp4,../thumbnails/the-safety-kids-club-thumbnail - Copy.png
Cringey Kids Trying to be Funny,thumbnails/cringey-kids-trying-to-be-funny - Copy.png,"Cringey Kids Trying to be Funny
08.30.2017","August 29th, 2017","I filmed this at a filmmaking camp and all these kids are pretty cringey, including me.",../video-data/16. Cringey Kids Trying to be Funny - Copy.mp4,../thumbnails/cringey-kids-trying-to-be-funny - Copy.png
How Carpooling can reduce your ecological footprint | School Video,thumbnails/Lower-quality-videos/18.jpg,"How Carpooling can reduce your ecological footprint | School Video
03.28.2018","Mar 28, 2018","I made this with my friends for a school project.


Also I edited this in only three hours (that's pretty quick for me).",../../video-data/Lower-quality-videos/18. How Carpooling can reduce your ecological footprint   School Video - Copy.mp4,../../thumbnails/Lower-quality-videos/18.jpg
The Original Gameboy vs. The Nintendo Switch,thumbnails/gameboy vs. switch.png,"The Original Gameboy vs. The Nintendo Switch
04.13.2018","April 13, 2018",Grade 9 video I made for science. I rushed this.,../../video-data/School Videos/Gameboy vs. Switch.mp4,null
Giuseppe's Operation,thumbnails/Guiseppe's Operation Video.png,"Giuseppe's Operation
11.12.2018","November 12th, 2018",I guess I'm not water rafting anymore after this...(Thanks Dr.Giuseppe) - Other Credits -,../video-data/25. Science RAFT Project Lungs Video - Copy.mp4,../thumbnails/Guiseppe's Operation Video.png
The Opponent of the Rodent,thumbnails/rodent.png,"The Opponent of the Rodent
02.19.2019","February, 19th, 2019",A sad story about how rodents are treated in modern society.,../../video-data/School Videos/The Opponent of the Rodent.mp4,null
The Dramatic Devious Deadly Dump,thumbnails/Lower-quality-videos/21.png,"The Dramatic Devious Deadly Dump
03.03.2019","March 3rd, 2019","Also, here's the other person in this video:


https://www.youtube.com/channel/UCU1YN5vn1OBwqI3ZIHzzs1w",../../video-data/Lower-quality-videos/21. The Dramatic Devious Deadly Dump - Copy.mp4,../../thumbnails/Lower-quality-videos/21.png
The Dramatic Devious Deadly Dump 2,thumbnails/ddd-dump-2.png,"The Dramatic Devious Deadly Dump 2
06.19.2019","June 19th, 2019",A sequel to an all-time classic.,../../video-data/School Videos/The DDD Dump 2.mp4,null
Billy Madison Scene Re-creation - The Game Show Scene,thumbnails/billy-madison.png,"Billy Madison Scene Re-creation
08.21.2019","August 21st, 2019",A classic scene in film history re-created by some high school juniors.,../../video-data/School Videos/Billy Madison Scene.mp4,null
用務員遊び | A Jolly Jaunt with the Janitor,thumbnails/clean-min.png,"用務員遊び | A Jolly Jaunt with the Janitor
10.10.2019","Oct 10, 2019",用務員遊びは、あなたがこれまでに見る最大のアニメです。,../video-data/31. janitor.mp4,../thumbnails/clean-min.png
MCV4UP Performance Task Video #1: Optimization Question,thumbnails/calc-1.png,"MCV4UP PT #1: Optimization Question
01.30.2021","January 30th, 2021",Jacob explains how to solve a calculus volume/cost optimization problem with a little help from a special guest.,../../video-data/School Videos/MCV4UP PT Video 1.mp4,../../thumbnails/calc-1.png
MCV4UP Performance Task Video #2: Presentation on Derivatives,thumbnails/calc-2.png,"MCV4UP PT #2: Presentation on Derivatives
01.31.2021","January 31st, 2021",POV: You are an 11th grade student in the cafeteria who will study AP Calc next year.,../../video-data/School Videos/MCV4UP PT Video 2.mp4,../../thumbnails/calc-2.png
Forced Success,thumbnails/forced-success.png,"Forced Success
02.16.2021","February 15th, 2021",,../../video-data/School Videos/Forced Success.mp4,../../thumbnails/forced-success.png
一剪梅 | 动力学印刷,thumbnails/yijianmei.png,"一剪梅 | 动力学印刷
04.05.2021",辛丑年 4月 5号,这是我为学校制作的精美的《动态排版》 ！！！很漂亮的歌，像《雪华飘飘》。,../../video-data/School Videos/一剪梅.mp4,../../thumbnails/yijianmei.png
THE POWER OF JAKERS,../videos/thumbnails/THE POWER OF JAKERS.png,"THE POWER OF JAKERS
04.23.2021","April 23rd, 2021",My greatest work to date.,../../video-data/School Videos/THE POWER OF JAKERS.mp4,../../thumbnails/THE POWER OF JAKERS.png
